Year,Series,source,Units,Main source,Value
2012,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.05435738166
2013,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.01965469962
2014,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.03077231211
2015,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.01708979199
2016,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.048314796333
2017,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.05196228627
2018,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.061414986
2019,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.04347457146
2020,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.06170223933
2021,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.08153053713
1991,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000133498368
1992,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000133498368
1993,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000133498368
1994,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000133498368
1995,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000133498368
1996,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000285037056
1997,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000294508224
1998,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000441912672
1999,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000591797664
2000,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000875256192
2001,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.001476976032
2002,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.0011500704
2003,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.001249442496
2004,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.001153302624
2005,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.001206296064
2006,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.00128650032
2007,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.001045737216
2008,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000999433728
2009,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000745416
2010,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000773604
2011,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.001199556
2012,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.001293516
2013,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.001130652
2014,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000836244
2015,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000441612
2016,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000726624
2017,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000645192
2018,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000786132
2019,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000757944
2020,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000216108
2021,Carbon dioxide emissions from fuel combustion, - - Aviation,million tonnes,,0.000416556
1992,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.10532258685
1993,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.14275817244
1994,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.14017047525
1995,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.13174685043
1996,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.14219847954
1997,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.13812304506
1998,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.11219242359
1999,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.12149510061
2000,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.13576724889
2001,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.12730319238
2002,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.0779943255
2003,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.06864365508
2004,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.0778677627
2005,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.06693590085
2006,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.02607826494
2007,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.02264841306
2008,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.02067403338
2009,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.06355532118
2010,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.03530120841
2011,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.04271396181
2012,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.05306386566
2013,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.01852404762
2014,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.02993606811
2015,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.01664817999
2016,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.047588172333
2017,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.05131709427
2018,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.060628854
2019,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.04271662746
2020,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.06148613133
2021,Carbon dioxide emissions from fuel combustion, - - Navigation,million tonnes,,0.08111398113
1990,,,,,
1990,,,,Fuel combustion,0.668768428863456
1990,,Energy industries,,Fuel combustion,0.097196392675
1990,,Manufacturing industries and construction,,Fuel combustion,0.06253914071565
1990,,Transport sector,,Fuel combustion,0.104706602352806
1990,,Other sectors,,Fuel combustion,0.40432629312
1990,,,,International Bunkers,
1990,,Aviation,,International Bunkers,
1990,,Navigation,,International Bunkers,
1991,,,,,0.649634144481681
1991,,,,Fuel combustion,0.649500646113681
1991,,Energy industries,,Fuel combustion,0.093720118275
1991,,Manufacturing industries and construction,,Fuel combustion,0.07384905355125
1991,,Transport sector,,Fuel combustion,0.102835449697431
1991,,Other sectors,,Fuel combustion,0.37909602459
1991,,,,International Bunkers,0.000133498368
1991,,Aviation,,International Bunkers,0.000133498368
1991,,Navigation,,International Bunkers,
1992,,,,,0.744483747398702
1992,,,,Fuel combustion,0.639027662180703
1992,,Energy industries,,Fuel combustion,0.09330379587
1992,,Manufacturing industries and construction,,Fuel combustion,0.043721001765
1992,,Transport sector,,Fuel combustion,0.113847603845702
1992,,Other sectors,,Fuel combustion,0.3881552607
1992,,,,International Bunkers,0.105456085218
1992,,Aviation,,International Bunkers,0.000133498368
1992,,Navigation,,International Bunkers,0.10532258685
1993,,,,,0.67218575402615
1993,,,,Fuel combustion,0.52929408321815
1993,,Energy industries,,Fuel combustion,0.08649468693
1993,,Manufacturing industries and construction,,Fuel combustion,0.03969763452
1993,,Transport sector,,Fuel combustion,0.09934865640815
1993,,Other sectors,,Fuel combustion,0.30375310536
1993,,,,International Bunkers,0.142891670808
1993,,Aviation,,International Bunkers,0.000133498368
1993,,Navigation,,International Bunkers,0.14275817244
1994,,,,,0.674637619839
1994,,,,Fuel combustion,0.534333646221
1994,,Energy industries,,Fuel combustion,0.08234997124
1994,,Manufacturing industries and construction,,Fuel combustion,0.038768034555
1994,,Transport sector,,Fuel combustion,0.090851411336
1994,,Other sectors,,Fuel combustion,0.32236422909
1994,,,,International Bunkers,0.140303973618
1994,,Aviation,,International Bunkers,0.000133498368
1994,,Navigation,,International Bunkers,0.14017047525
1995,,,,,0.6721524434764
1995,,,,Fuel combustion,0.5402720946784
1995,,Energy industries,,Fuel combustion,0.079484259
1995,,Manufacturing industries and construction,,Fuel combustion,0.03220301898
1995,,Transport sector,,Fuel combustion,0.0978491428384
1995,,Other sectors,,Fuel combustion,0.33073567386
1995,,,,International Bunkers,0.131880348798
1995,,Aviation,,International Bunkers,0.000133498368
1995,,Navigation,,International Bunkers,0.13174685043
1996,,,,,0.7030326844335
1996,,,,Fuel combustion,0.5605491678375
