Year,slag av tilfari,Units,Series,Slag av tilfari,Value
2012,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,472.7322
2012,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,9.82709073900842
2012,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,33.6236850528113
2012,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,226.1572
2012,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.70132418667498
2012,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,16.0857213983428
2013,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,1090.1741
2013,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,22.6753491758099
2013,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,72.1563424562332
2013,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,342.8727
2013,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,7.13166658000104
2013,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,22.6940265413509
2013,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,4.9422
2013,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.102796526441683
2013,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.327113876294801
2013,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,444.5531
2013,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,9.24659352087775
2013,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,29.4240394479929
2013,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,276.7999
2013,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,5.75736883157402
2013,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,18.320806168713
2014,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,1468.9791
2014,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,30.3768541207854
2014,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,89.8194475016509
2014,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,365.4185
2014,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,7.55644819421611
