Year,Units,Slag av tilfari,Value
2013,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,29.6
2013,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,16.8
2014,Innlendis tilfarsnýtsla (1.000 tons),,1407.2
2014,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,365.4
2014,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,6.1
2014,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,786.1
2014,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,249.6
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,29.1
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,7.6
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,16.3
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,5.2
2014,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,86.4
2014,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,22.4
2014,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.4
2014,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,48.3
2014,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,15.3
2015,Innlendis tilfarsnýtsla (1.000 tons),,1132.6
2015,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,404.2
2015,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,2.0
2015,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,463.2
2015,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,263.2
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,23.2
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,8.3
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.0
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,9.5
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,5.4
2015,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,65.7
2015,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,23.5
2015,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.1
2015,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,26.9
2015,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,15.3
2016,Innlendis tilfarsnýtsla (1.000 tons),,1251.4
2016,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,304.9
2016,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,18.7
2016,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,675.1
2016,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,252.8
2016,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,25.3
