Year,data.measure,Value
2020,data.bankcapitaltoassetsratio,..
2020,data.taxrevenuegdp,..
2020,data.cashsurplusdeficit,6.6
2020,data.grossPSD,..
2020,data.annualGDPgrowth,-2.7
2020,data.annualgrowthofthegrosscapitalformation,-0.3
2020,data.annualgrowthofhouseholdsandNPISHs,0.2
2020,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,5.5
2020,data.annualgrowthofexportsofgoodsandservices,-16.4
2020,data.annualgrowthofimportsofgoodsandservices,-9.3
2020,data.annualinflationconsumerprices,0.3
2020,data.totalunemploymentoutoftotallabourforce,1.7
2021,data.merchandisetrade,..
2021,data.personalremittances,..
2021,data.currentaccountbalance,..
2021,data.foreigndirectinvestment,..
2021,data.portfolioinvestment,..
2021,data.reservesinmonthsofimports,..
2021,data.debtservice,..
2021,data.externaldebtstocks,..
2021,data.DECalternativeconversionfactor,629.2
2021,data.annualbroadmoneygrowth,..
2021,data.broadmoney,..
2021,data.banknonperformingloans,..
2021,data.bankcapitaltoassetsratio,..
2021,data.taxrevenuegdp,..
2021,data.cashsurplusdeficit,..
2021,data.grossPSD,..
2021,data.annualGDPgrowth,..
2021,data.annualgrowthofthegrosscapitalformation,..
2021,data.annualgrowthofhouseholdsandNPISHs,..
2021,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,..
2021,data.annualgrowthofexportsofgoodsandservices,..
2021,data.annualgrowthofimportsofgoodsandservices,..
2021,data.annualinflationconsumerprices,2.7
2021,data.totalunemploymentoutoftotallabourforce,2.1
