Year,Series,indicator,Units,Value
2020,Biomass,Domestic material consumption,"1,000 tonnes",415.5567
2020,Biomass,Domestic material consumption per capita,"1,000 tonnes",7.91559187405354
2020,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",19.6001594211785
2020,Metallic minerals,Domestic material consumption,"1,000 tonnes",24.123
2020,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.459498842824081
2020,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",1.13778612092427
2020,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",1041.9764
2020,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",19.8477366019982
2020,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",49.1458892447304
2020,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",307.2627
2020,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",5.85279007971656
2020,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",14.4923614615809
