"Year","Units","material type","Value"
"2016","data.domesticmaterialconsumption","data.biomass",304.85
"2016","data.domesticmaterialconsumption","data.metallicminerals",18.68
"2016","data.domesticmaterialconsumption","data.non-metallicminerals",675.06
"2016","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",358.24
"2016","data.domesticmaterialconsumptionpercapita","",27.44
"2016","data.domesticmaterialconsumptionpercapita","data.biomass",6.17
"2016","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.38
"2016","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",13.65
"2016","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",7.25
"2016","data.domesticmaterialconsumptionperunitofgdp","",71.65
"2016","data.domesticmaterialconsumptionperunitofgdp","data.biomass",16.10
"2016","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.99
"2016","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",35.65
"2016","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",18.92
"2016","","",81.52
"2016","","data.biomass",18.32
"2016","","data.metallicminerals",1.12
"2016","","data.non-metallicminerals",40.56
"2016","","data.fossilenergyandotherproducts",21.52
"2017","data.domesticmaterialconsumption","",1617.55
"2017","data.domesticmaterialconsumption","data.biomass",442.70
"2017","data.domesticmaterialconsumption","data.metallicminerals",46.62
"2017","data.domesticmaterialconsumption","data.non-metallicminerals",757.36
"2017","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",370.88
"2017","data.domesticmaterialconsumptionpercapita","",32.27
"2017","data.domesticmaterialconsumptionpercapita","data.biomass",8.83
"2017","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.93
"2017","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",15.11
"2017","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",7.40
"2017","data.domesticmaterialconsumptionperunitofgdp","",82.21
"2017","data.domesticmaterialconsumptionperunitofgdp","data.biomass",22.50
"2017","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",2.37
"2017","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",38.49
"2017","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",18.85
"2017","","",93.89
"2017","","data.biomass",25.70
"2017","","data.metallicminerals",2.71
"2017","","data.non-metallicminerals",43.96
"2017","","data.fossilenergyandotherproducts",21.53
"2018","data.domesticmaterialconsumption","",1579.56
"2018","data.domesticmaterialconsumption","data.biomass",408.98
"2018","data.domesticmaterialconsumption","data.metallicminerals",47.27
"2018","data.domesticmaterialconsumption","data.non-metallicminerals",764.78
"2018","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",358.54
"2018","data.domesticmaterialconsumptionpercapita","",31.05
"2018","data.domesticmaterialconsumptionpercapita","data.biomass",8.04
"2018","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.93
"2018","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",15.04
"2018","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",7.05
"2018","data.domesticmaterialconsumptionperunitofgdp","",78.45
"2018","data.domesticmaterialconsumptionperunitofgdp","data.biomass",20.31
"2018","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",2.35
"2018","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",37.98
"2018","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",17.81
"2018","","",89.25
"2018","","data.biomass",23.11
"2018","","data.metallicminerals",2.67
"2018","","data.non-metallicminerals",43.21
"2018","","data.fossilenergyandotherproducts",20.26
"2019","data.domesticmaterialconsumption","",1614.53
"2019","data.domesticmaterialconsumption","data.biomass",374.53
"2019","data.domesticmaterialconsumption","data.metallicminerals",26.16
"2019","data.domesticmaterialconsumption","data.non-metallicminerals",872.56
"2019","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",341.27
"2019","data.domesticmaterialconsumptionpercapita","",31.24
"2019","data.domesticmaterialconsumptionpercapita","data.biomass",7.25
"2019","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.51
"2019","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",16.88
"2019","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",6.60
"2019","data.domesticmaterialconsumptionperunitofgdp","",73.90
"2019","data.domesticmaterialconsumptionperunitofgdp","data.biomass",17.14
"2019","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",1.20
"2019","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",39.94
"2019","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",15.62
"2019","","",86.92
"2019","","data.biomass",20.16
"2019","","data.metallicminerals",1.41
"2019","","data.non-metallicminerals",46.97
"2019","","data.fossilenergyandotherproducts",18.37
"2020","data.domesticmaterialconsumption","",1857.88
"2020","data.domesticmaterialconsumption","data.biomass",415.56
"2020","data.domesticmaterialconsumption","data.metallicminerals",24.12
"2020","data.domesticmaterialconsumption","data.non-metallicminerals",1041.98
"2020","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",376.23
"2020","data.domesticmaterialconsumptionpercapita","",35.40
"2020","data.domesticmaterialconsumptionpercapita","data.biomass",7.92
"2020","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.46
"2020","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",19.85
"2020","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",7.17
"2020","data.domesticmaterialconsumptionperunitofgdp","",87.42
"2020","data.domesticmaterialconsumptionperunitofgdp","data.biomass",19.55
"2020","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",1.14
"2020","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",49.03
"2020","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",17.70
"2020","","",102.72
"2020","","data.biomass",22.98
"2020","","data.metallicminerals",1.33
"2020","","data.non-metallicminerals",57.61
"2020","","data.fossilenergyandotherproducts",20.80
